설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
유가유치원 건너편,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 378,대구광역시 달성군 유가읍 봉리 656,35.691420,128.465290,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
제일풍경채 213동 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 378,대구광역시 달성군 유가읍 봉리 656,35.691420,128.465290,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
참꽃어린이집 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노북로6길 26,대구광역시 달성군 유가읍 봉리 600,35.694743,128.460588,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
쌍계오거리 정원공인중개사 맞은편,대구광역시,달성군,대구광역시 달성군 유가읍 쌍계로1길 60,대구광역시 달성군 유가읍 쌍계리 654,35.701453,128.465935,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
과학관사거리 풍경채 방면,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 380,대구광역시 달성군 유가읍 봉리 658,35.689283,128.462247,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
과학관사거리 공원방면,대구광역시,달성군,대구광역시 달성군 유가읍 유가중앙로 171,대구광역시 달성군 유가읍 봉리 928,35.870902,128.593981,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
과학관사거리 과학관방면,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 380,대구광역시 달성군 유가읍 봉리 658,35.689283,128.462247,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
과학관사거리 유보라 방면,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 380,대구광역시 달성군 유가읍 봉리 658,35.689283,128.462247,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유가초등학교 건너편 우미린아파트 107동 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 377,대구광역시 달성군 유가읍 봉리 655,35.693514,128.465371,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
M스퀘어+ 앞 사거리,대구광역시,달성군,대구광역시 달성군 유가읍 테크노상업로 120,대구광역시 달성군 유가읍 봉리 619,35.693063,128.462901,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
비슬유치원 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 367,대구광역시 달성군 유가읍 봉리 645,35.696866,128.459412,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유가초등학교 사거리,대구광역시,달성군,대구광역시 달성군 유가읍 테크노북로9길 42,대구광역시 달성군 유가읍 봉리 622,35.693273,128.467322,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유가파출소 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 370,대구광역시 달성군 유가읍 봉리 648,35.693544,128.459387,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
투썸플레이스 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 254,대구광역시 달성군 유가읍 봉리 606,35.693120,128.458238,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산중학교 앞 사거리,대구광역시,달성군,대구광역시 달성군 유가읍 테크노북로6길 10,대구광역시 달성군 유가읍 봉리 598,35.696141,128.460095,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
